datetime_beginning_utc,datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw,is_verified
12/1/2022 7:00:00 AM,12/1/2022 2:00:00 AM,RFC,WEST,DAY,DAY,1962.000,False
12/1/2022 7:00:00 AM,12/1/2022 2:00:00 AM,RFC,WEST,DEOK,DEOK,2869.237,True
12/1/2022 7:00:00 AM,12/1/2022 2:00:00 AM,SERC,SOUTH,DOM,DOM,12121.227,True
12/1/2022 7:00:00 AM,12/1/2022 2:00:00 AM,RFC,MIDATL,DPL,DPLCO,1867.548,True
12/1/2022 7:00:00 AM,12/1/2022 2:00:00 AM,RFC,WEST,DUQ,DUQ,1325.952,False
12/1/2022 7:00:00 AM,12/1/2022 2:00:00 AM,RFC,MIDATL,DPL,EASTON,26.792,True
12/1/2022 7:00:00 AM,12/1/2022 2:00:00 AM,SERC,WEST,EKPC,EKPC,1920.464,True
12/1/2022 7:00:00 AM,12/1/2022 2:00:00 AM,RFC,MIDATL,JC,JC,2037.699,True
12/1/2022 7:00:00 AM,12/1/2022 2:00:00 AM,RFC,MIDATL,ME,ME,1676.194,True
12/1/2022 7:00:00 AM,12/1/2022 2:00:00 AM,RFC,WEST,ATSI,OE,6669.060,True
12/1/2022 7:00:00 AM,12/1/2022 2:00:00 AM,RFC,WEST,OVEC,OVEC,43.000,True
12/1/2022 7:00:00 AM,12/1/2022 2:00:00 AM,RFC,WEST,ATSI,PAPWR,567.347,True
12/1/2022 7:00:00 AM,12/1/2022 2:00:00 AM,RFC,MIDATL,PE,PE,3787.096,True
12/1/2022 7:00:00 AM,12/1/2022 2:00:00 AM,RFC,MIDATL,PEP,PEPCO,2329.394,True
12/1/2022 7:00:00 AM,12/1/2022 2:00:00 AM,RFC,MIDATL,PL,PLCO,4349.380,False
12/1/2022 7:00:00 AM,12/1/2022 2:00:00 AM,RFC,MIDATL,PN,PN,1953.757,True
12/1/2022 7:00:00 AM,12/1/2022 2:00:00 AM,RFC,MIDATL,PS,PS,4197.990,True
12/1/2022 7:00:00 AM,12/1/2022 2:00:00 AM,RFC,MIDATL,RECO,RECO,122.206,False
12/1/2022 7:00:00 AM,12/1/2022 2:00:00 AM,RFC,MIDATL,PEP,SMECO,390.117,True
12/1/2022 7:00:00 AM,12/1/2022 2:00:00 AM,RFC,MIDATL,PL,UGI,110.553,True
12/1/2022 7:00:00 AM,12/1/2022 2:00:00 AM,RFC,MIDATL,AE,VMEU,69.211,True
12/1/2022 7:00:00 AM,12/1/2022 2:00:00 AM,RTO,RTO,RTO,RTO,85173.403,False
12/1/2022 8:00:00 AM,12/1/2022 3:00:00 AM,RFC,MIDATL,AE,AECO,867.845,True
12/1/2022 8:00:00 AM,12/1/2022 3:00:00 AM,RFC,WEST,AEP,AEPAPT,4805.772,True
12/1/2022 8:00:00 AM,12/1/2022 3:00:00 AM,RFC,WEST,AEP,AEPIMP,3001.555,True
12/1/2022 8:00:00 AM,12/1/2022 3:00:00 AM,RFC,WEST,AEP,AEPKPT,761.718,True
12/1/2022 8:00:00 AM,12/1/2022 3:00:00 AM,RFC,WEST,AEP,AEPOPT,6488.413,True
12/1/2022 8:00:00 AM,12/1/2022 3:00:00 AM,RFC,WEST,AP,AP,5816.331,True
12/1/2022 8:00:00 AM,12/1/2022 3:00:00 AM,RFC,MIDATL,BC,BC,3151.485,True
12/1/2022 8:00:00 AM,12/1/2022 3:00:00 AM,RFC,WEST,CE,CE,10107.285,True
12/1/2022 8:00:00 AM,12/1/2022 3:00:00 AM,RFC,WEST,DAY,DAY,1978.000,False
12/1/2022 8:00:00 AM,12/1/2022 3:00:00 AM,RFC,WEST,DEOK,DEOK,2886.357,True
12/1/2022 8:00:00 AM,12/1/2022 3:00:00 AM,SERC,SOUTH,DOM,DOM,12377.311,True
12/1/2022 8:00:00 AM,12/1/2022 3:00:00 AM,RFC,MIDATL,DPL,DPLCO,1883.319,True
12/1/2022 8:00:00 AM,12/1/2022 3:00:00 AM,RFC,WEST,DUQ,DUQ,1330.771,False
12/1/2022 8:00:00 AM,12/1/2022 3:00:00 AM,RFC,MIDATL,DPL,EASTON,27.461,True
12/1/2022 8:00:00 AM,12/1/2022 3:00:00 AM,SERC,WEST,EKPC,EKPC,1975.420,True
12/1/2022 8:00:00 AM,12/1/2022 3:00:00 AM,RFC,MIDATL,JC,JC,2038.179,True
12/1/2022 8:00:00 AM,12/1/2022 3:00:00 AM,RFC,MIDATL,ME,ME,1683.710,True
